Occupation,Number_of_workers_2024,Median_weekly_earnings_2024,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022,Number_of_workers_2021,Median_weekly_earnings_2021,Number_of_workers_2020,Median_weekly_earnings_2020
First-line supervisors of food preparation and serving workers,331,817,432,728,362,731,349,621,335,602
Cooks,"1,230",671,"1,259",655,"1,247",611,"1,187",549,"1,026",510
Food preparation workers,472,648,484,619,476,595,439,547,355,510
Bartenders,250,764,208,764,250,707,217,668,169,648
Fast food and counter workers,263,623,288,610,237,557,268,507,231,468
Waiters and waitresses,752,664,828,642,786,606,674,576,600,514
"Food servers, nonrestaurant",139,693,91,623,86,649,102,544,85,531
Dining room and cafeteria attendants and bartender helpers,119,691,132,593,94,594,102,509,99,508
Dishwashers,133,636,133,598,120,583,128,512,83,528
"Hosts and hostesses, restaurant, lounge, and coffee shop",68,609,73,594,70,611,77,498,46,–
"Food preparation and serving related workers, all other",6,–,7,–,5,–,1,–,4,–
Building and grounds cleaning and maintenance occupations,"3,634",729,"3,520",692,"3,518",671,"3,347",623,"3,138",603
First-line supervisors of housekeeping and janitorial workers,174,"1,007",177,896,152,833,176,829,171,738
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",107,"1,071",93,928,94,895,76,900,108,786
Janitors and building cleaners,"1,569",727,"1,505",696,"1,503",683,"1,437",630,"1,372",614
Maids and housekeeping cleaners,799,678,834,619,823,592,744,546,629,503
Pest control workers,102,897,90,848,90,798,108,868,90,749
Landscaping and groundskeeping workers,788,714,713,703,769,681,738,622,665,605
Tree trimmers and pruners,77,899,92,775,73,916,59,846,82,666
Other grounds maintenance workers,17,–,18,–,13,–,9,–,21,–
Personal care and service occupations,"1,631",757,"1,799",725,"1,728",686,"1,543",618,"1,380",616
Supervisors of personal care and service workers,82,982,97,855,89,743,92,784,96,761
Animal trainers,30,–,31,–,23,–,27,–,34,–
Animal caretakers,145,718,161,704,144,623,133,595,108,626
Gambling services workers,58,"1,009",66,893,53,890,54,852,53,765
"Ushers, lobby attendants, and ticket takers",14,–,7,–,9,–,9,–,3,–
Other entertainment attendants and related workers,76,707,87,707,92,686,68,615,47,–
"Embalmers, crematory operators, and funeral attendants",8,–,13,–,19,–,3,–,8,–
"Morticians, undertakers, and funeral arrangers",28,–,28,–,20,–,18,–,10,–
Barbers,39,–,69,655,48,–,36,–,49,–
"Hairdressers, hairstylists, and cosmetologists",221,771,239,740,274,679,252,604,205,606
Manicurists and pedicurists,171,750,197,772,178,677,153,655,110,607
Skincare specialists,40,–,46,–,33,–,27,–,23,–
Other personal appearance workers,9,–,11,–,13,–,2,–,5,–
"Baggage porters, bellhops, and concierges",61,816,67,676,66,702,62,612,44,–
Tour and travel guides,25,–,14,–,16,–,10,–,16,–
Childcare workers,380,693,379,635,413,606,402,569,383,537
Exercise trainers and group fitness instructors,65,805,71,956,57,815,54,729,53,618
Recreation workers,108,730,129,776,111,726,88,652,80,715
Residential advisors,17,–,17,–,16,–,22,–,17,–
"Personal care and service workers, all other",57,755,68,761,54,788,31,–,37,–
,,,,,,,,,,
Sales and office occupations,"21,066",964,"21,667",923,"21,978",880,"21,748",826,"21,165",809
Sales and related occupations,"8,895","1,046","9,148","1,001","9,170",941,"9,281",887,"8,958",880
First-line supervisors of retail sales workers,"2,069","1,022","2,234",995,"2,174",948,"2,165",875,"2,141",858
First-line supervisors of non-retail sales workers,841,"1,418",906,"1,345",869,"1,299",833,"1,191",783,"1,226"
Cashiers,"1,066",633,"1,147",606,"1,243",587,"1,235",515,"1,088",507
Counter and rental clerks,47,–,64,801,60,751,56,781,48,–
Parts salespersons,98,863,89,769,102,855,103,778,97,741
Retail salespersons,"1,585",884,"1,585",829,"1,535",802,"1,665",745,"1,603",705
Advertising sales agents,113,"1,650",101,"1,442",105,"1,323",93,"1,174",120,"1,066"
Insurance sales agents,435,"1,132",443,"1,081",438,"1,049",462,"1,008",469,931
"Securities, commodities, and financial services sales agents",201,"2,082",184,"2,320",154,"1,710",206,"1,630",200,"1,545"
Travel agents,58,"1,093",48,–,45,–,33,–,30,–
"Sales representatives of services, except advertising, insurance, financial services, and travel",617,"1,449",577,"1,365",539,"1,489",523,"1,169",497,"1,351"
"Sales representatives, wholesale and manufacturing",991,"1,569",999,"1,427","1,005","1,282","1,014","1,263","1,073","1,275"
"Models, demonstrators, and product promoters",19,–,10,–,15,–,4,–,6,–
Real estate brokers and sales agents,398,"1,392",440,"1,363",512,"1,219",524,"1,141",498,"1,084"
Sales engineers,38,–,51,"1,918",46,–,29,–,37,–
Telemarketers,20,–,28,–,29,–,22,–,28,–
"Door-to-door sales workers, news and street vendors, and related workers",24,–,29,–,24,–,17,–,34,–
"Sales and related workers, all other",275,"1,060",213,914,275,940,298,943,206,950
Office and administrative support occupations,"12,171",925,"12,519",891,"12,808",847,"12,467",806,"12,207",781
First-line supervisors of office and administrative support workers,"1,072","1,161","1,038","1,114","1,090","1,037","1,098",964,"1,129",966
"Switchboard operators, including answering service",7,–,19,–,12,–,8,–,8,–
Telephone operators,6,–,11,–,28,–,17,–,19,–
"Communications equipment operators, all other",7,–,1,–,2,–,3,–,8,–
Bill and account collectors,100,982,84,809,92,821,81,726,96,758
Billing and posting clerks,338,870,391,826,442,854,398,772,379,749
"Bookkeeping, accounting, and auditing clerks",778,962,869,943,818,893,741,825,741,824
Gambling cage workers,17,–,22,–,17,–,15,–,11,–
Payroll and timekeeping clerks,108,963,119,"1,040",113,983,144,921,129,945
Procurement clerks,48,–,41,–,24,–,35,–,27,–
Tellers,173,763,163,721,164,708,173,695,225,639
"Financial clerks, all other",131,"1,119",121,"1,078",124,"1,034",95,909,90,"1,039"
Brokerage clerks,2,–,6,–,6,–,9,–,4,–
Correspondence clerks,3,–,3,–,6,–,1,–,3,–
"Court, municipal, and license clerks",66,971,84,928,73,816,69,811,73,777
"Credit authorizers, checkers, and clerks",20,–,25,–,43,–,40,–,41,–
Customer service representatives,"1,936",868,"2,157",828,"2,097",808,"1,863",780,"1,814",721
"Eligibility interviewers, government programs",77,"1,000",96,960,74,958,67,840,71,898
File Clerks,103,895,86,898,106,779,126,775,138,751
"Hotel, motel, and resort desk clerks",64,737,87,741,81,633,74,652,60,534
"Interviewers, except eligibility and loan",172,890,166,789,117,808,172,772,155,711
"Library assistants, clerical",25,–,33,–,32,–,29,–,25,–
Loan interviewers and clerks,106,"1,002",128,931,158,965,126,899,135,911
New accounts clerks,14,–,17,–,14,–,9,–,22,–
Order clerks,62,885,66,734,84,782,89,714,75,704
"Human resources assistants, except payroll and timekeeping",78,"1,077",71,988,80,"1,168",37,–,44,–
Receptionists and information clerks,821,767,827,752,838,713,871,685,846,642
Reservation and transportation ticket agents and travel clerks,89,937,113,900,79,991,74,786,81,879
"Information and record clerks, all other",98,815,71,858,71,822,98,774,81,915
Cargo and freight agents,12,–,25,–,25,–,3,–,16,–
Couriers and messengers,464,890,547,853,523,807,492,802,340,779
Public safety telecommunicators,74,"1,140",67,"1,013",76,802,82,911,102,858
"Dispatchers, except police, fire, and ambulance",137,958,156,898,161,861,163,812,178,768
"Meter readers, utilities",12,–,20,–,21,–,30,–,18,–
Postal service clerks,81,"1,041",95,894,85,946,96,"1,047",80,"1,010"
Postal service mail carriers,296,"1,218",279,"1,130",275,"1,067",259,992,290,"1,017"
"Postal service mail sorters, processors, and processing machine operators",43,–,58,904,63,911,76,879,60,977
"Production, planning, and expediting clerks",219,"1,274",198,"1,334",204,"1,167",184,"1,115",243,"1,072"
"Shipping, receiving, and inventory clerks",530,853,555,811,576,772,537,725,505,696
"Weighers, measurers, checkers, and samplers, recordkeeping",56,906,59,843,41,–,42,–,53,729
Executive secretaries and executive administrative assistants,222,"1,272",179,"1,272",210,"1,088",211,"1,027",170,991
Legal secretaries and administrative assistants,36,–,40,–,41,–,46,–,54,914
Medical secretaries and administrative assistants,64,880,80,909,64,853,53,756,63,804
"Secretaries and administrative assistants, except legal, medical, and executive","1,380",930,"1,387",894,"1,518",836,"1,532",819,"1,607",781
Data entry keyers,179,923,185,814,192,798,195,718,180,710
Word processors and typists,43,–,33,–,32,–,23,–,32,–
Desktop publishers,0,–,1,–,1,–,1,–,0,–
Insurance claims and policy processing clerks,271,891,265,912,285,809,262,763,221,760
"Mail clerks and mail machine operators, except postal service",34,–,37,–,41,–,40,–,35,–
"Office clerks, general",905,877,926,828,959,776,927,744,912,736
"Office machine operators, except computer",18,–,15,–,17,–,22,–,12,–
Proofreaders and copy markers,9,–,4,–,5,–,4,–,4,–
Statistical assistants,13,–,14,–,13,–,42,–,66,"1,272"
"Office and administrative support workers, all other",556,"1,012",380,"1,007",494,925,582,890,437,867
,,,,,,,,,,
"Natural resources, construction, and maintenance occupations","11,387","1,042","11,368","1,001","11,386",965,"11,182",919,"10,690",905
"Farming, fishing, and forestry occupations",717,716,731,689,762,645,800,623,787,589
"First-line supervisors of farming, fishing, and forestry workers",46,–,59,907,38,–,35,–,43,–
Agricultural inspectors,16,–,24,–,16,–,11,–,14,–
Animal breeders,6,–,9,–,3,–,6,–,0,–
"Graders and sorters, agricultural products",51,693,39,–,36,–,41,–,41,–
Miscellaneous agricultural workers,556,705,542,662,604,634,641,613,628,574
Fishing and hunting workers,7,–,7,–,10,–,16,–,14,–
Forest and conservation workers,10,–,18,–,12,–,12,–,17,–
Logging workers,25,–,33,–,43,–,38,–,29,–
Construction and extraction occupations,"6,518","1,017","6,517",985,"6,406",943,"6,171",904,"5,826",906
First-line supervisors of construction trades and extraction workers,600,"1,390",537,"1,373",521,"1,227",545,"1,208",596,"1,200"
Boilermakers,7,–,14,–,10,–,23,–,14,–
"Brickmasons, blockmasons, and stonemasons",91,"1,037",76,850,71,"1,009",77,867,87,749
Carpenters,833,929,942,928,866,884,830,850,756,892
"Carpet, floor, and tile installers and finishers",84,981,67,924,99,786,104,778,117,770
"Cement masons, concrete finishers, and terrazzo workers",50,"1,001",48,–,59,876,63,917,54,782
Construction laborers,"1,602",899,"1,572",858,"1,636",826,"1,503",766,"1,343",783
Construction equipment operators,372,"1,099",353,"1,113",351,"1,038",334,992,328,979
"Drywall installers, ceiling tile installers, and tapers",100,817,90,812,120,829,133,704,131,784
Electricians,877,"1,214",813,"1,195",784,"1,116",737,"1,060",735,"1,024"
Glaziers,23,–,28,–,28,–,45,–,43,–
Insulation workers,35,–,61,"1,079",51,748,30,–,49,–
Painters and paperhangers,340,814,389,810,402,747,360,741,316,691
Pipelayers,45,–,46,–,44,–,36,–,41,–
"Plumbers, pipefitters, and steamfitters",567,"1,126",546,"1,063",485,"1,078",506,992,444,"1,002"
Plasterers and stucco masons,25,–,22,–,23,–,15,–,24,–
Reinforcing iron and rebar workers,7,–,10,–,6,–,9,–,3,–
Roofers,200,846,187,804,127,786,151,685,146,732
Sheet metal workers,108,"1,056",112,"1,096",123,992,115,979,103,905
Structural iron and steel workers,34,–,37,–,59,"1,170",35,–,38,–
Solar photovoltaic installers,21,–,14,–,25,–,20,–,18,–
"Helpers, construction trades",46,–,49,–,42,–,63,691,48,–
Construction and building inspectors,94,"1,212",85,"1,193",88,"1,316",65,988,73,"1,119"
Elevator and escalator installers and repairers,28,–,39,–,49,–,37,–,17,–
Fence erectors,27,–,26,–,40,–,25,–,27,–
Hazardous materials removal workers,35,–,21,–,22,–,25,–,26,–
Highway maintenance workers,72,"1,109",98,941,94,892,90,880,89,846
Rail-track laying and maintenance equipment operators,14,–,22,–,16,–,11,–,5,–
Septic tank servicers and sewer pipe cleaners,8,–,7,–,8,–,9,–,4,–
Miscellaneous construction and related workers,24,–,48,–,24,–,19,–,22,–
"Derrick, rotary drill, and service unit operators, oil and gas",21,–,21,–,32,–,20,–,16,–
"Excavating and loading machine and dragline operators, surface mining",4,–,9,–,3,–,4,–,6,–
"Earth drillers, except oil and gas",36,–,22,–,19,–,30,–,19,–
"Explosives workers, ordnance handling experts, and blasters",13,–,7,–,9,–,11,–,6,–
Underground mining machine operators,29,–,43,–,24,–,35,–,35,–
"Roustabouts, oil and gas",9,–,8,–,8,–,3,–,7,–
Other extraction workers,40,–,47,–,38,–,55,"1,160",40,–
"Installation, maintenance, and repair occupations","4,152","1,150","4,120","1,092","4,218","1,043","4,211","1,017","4,077",984
"First-line supervisors of mechanics, installers, and repairers",275,"1,382",227,"1,246",234,"1,355",217,"1,304",212,"1,269"
"Computer, automated teller, and office machine repairers",92,"1,066",109,"1,042",154,"1,139",148,"1,017",142,960
Radio and telecommunications equipment installers and repairers,86,"1,198",92,"1,042",104,"1,184",127,"1,225",125,"1,192"
Avionics technicians,13,–,10,–,6,–,3,–,8,–
"Electric motor, power tool, and related repairers",13,–,18,–,22,–,17,–,15,–
"Electrical and electronics installers and repairers, transportation equipment",1,–,0,–,2,–,1,–,3,–
"Electrical and electronics repairers, industrial and utility",7,–,8,–,17,–,16,–,9,–
"Electronic equipment installers and repairers, motor vehicles",6,–,3,–,6,–,8,–,4,–
Audiovisual equipment installers and repairers,12,–,19,–,23,–,13,–,23,–
Security and fire alarm systems installers,53,"1,158",37,–,57,968,63,"1,008",50,"1,028"
Aircraft mechanics and service technicians,161,"1,297",115,"1,355",163,"1,253",152,"1,282",151,"1,164"
Automotive body and related repairers,89,993,105,"1,025",121,999,113,990,102,904
Automotive glass installers and repairers,17,–,18,–,25,–,24,–,12,–
Automotive service technicians and mechanics,712,"1,036",741,994,733,917,651,906,585,855
Bus and truck mechanics and diesel engine specialists,265,"1,135",281,"1,093",312,"1,025",318,996,312,"1,023"
Heavy vehicle and mobile equipment service technicians and mechanics,183,"1,272",194,"1,206",205,"1,281",237,"1,122",179,999
Small engine mechanics,29,–,28,–,36,–,36,–,36,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",65,820,56,804,57,871,75,781,72,665
Control and valve installers and repairers,25,–,19,–,16,–,15,–,25,–
"Heating, air conditioning, and refrigeration mechanics and installers",423,"1,158",464,"1,126",408,"1,029",370,"1,009",382,"1,003"
Home appliance repairers,27,–,28,–,29,–,30,–,24,–
Industrial and refractory machinery mechanics,349,"1,253",397,"1,172",380,"1,105",426,"1,050",401,"1,031"
"Maintenance and repair workers, general",615,"1,029",586,"1,007",556,991,556,958,550,895
"Maintenance workers, machinery",27,–,20,–,19,–,23,–,22,–
Millwrights,46,–,33,–,44,–,47,–,62,"1,178"
Electrical power-line installers and repairers,127,"1,482",122,"1,373",111,"1,372",123,"1,219",139,"1,268"
Telecommunications line installers and repairers,120,"1,134",141,"1,135",121,"1,257",128,"1,078",155,"1,031"
Precision instrument and equipment repairers,49,–,35,–,47,–,54,"1,150",62,"1,085"
Wind turbine service technicians,8,–,9,–,9,–,12,–,5,–
"Coin, vending, and amusement machine servicers and repairers",27,–,26,–,29,–,22,–,27,–
Commercial divers,5,–,1,–,1,–,0,–,3,–
Locksmiths and safe repairers,36,–,23,–,8,–,19,–,19,–
Manufactured building and mobile home installers,4,–,3,–,3,–,1,–,3,–
Riggers,14,–,15,–,11,–,7,–,6,–
"Helpers--installation, maintenance, and repair workers",20,–,12,–,10,–,18,–,16,–
"Other installation, maintenance, and repair workers",150,"1,014",124,"1,014",139,910,140,830,139,780
,,,,,,,,,,
"Production, transportation, and material moving occupations","15,842",891,"15,977",869,"16,076",821,"15,590",774,"14,738",746
Production occupations,"7,093",922,"7,313",895,"7,352",862,"7,107",809,"6,820",775
First-line supervisors of production and operating workers,732,"1,253",714,"1,175",753,"1,090",738,"1,080",713,"1,038"
"Aircraft structure, surfaces, rigging, and systems assemblers",2,–,14,–,8,–,8,–,3,–
"Electrical, electronics, and electromechanical assemblers",103,886,115,824,98,729,111,745,90,640
Engine and other machine assemblers,8,–,12,–,9,–,6,–,3,–
Structural metal fabricators and fitters,22,–,18,–,21,–,14,–,17,–
Other assemblers and fabricators,870,866,961,812,"1,014",774,894,710,828,705
Bakers,155,719,139,670,147,646,143,614,131,596
"Butchers and other meat, poultry, and fish processing workers",204,836,231,767,217,769,236,718,221,733
"Food and tobacco roasting, baking, and drying machine operators and tenders",6,–,2,–,3,–,10,–,8,–
Food batchmakers,69,851,57,810,58,722,67,669,70,649
Food cooking machine operators and tenders,7,–,8,–,11,–,7,–,7,–
"Food processing workers, all other",130,813,137,927,141,816,136,734,118,669
Computer numerically controlled tool operators and programmers,90,"1,118",107,"1,055",69,"1,088",83,"1,036",96,964
"Forming machine setters, operators, and tenders, metal and plastic",22,–,28,–,27,–,23,–,24,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",43,–,68,780,57,815,63,746,69,821
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",38,–,35,–,25,–,26,–,35,–
"Other machine tool setters, operators, and tenders, metal and plastic",8,–,8,–,10,–,7,–,8,–
Machinists,279,"1,083",284,"1,023",283,"1,036",295,914,297,923
"Metal furnace operators, tenders, pourers, and casters",13,–,15,–,16,–,17,–,19,–
"Model makers and patternmakers, metal and plastic",0,–,5,–,0,–,2,–,9,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",21,–,29,–,16,–,34,–,37,–
Tool and die makers,33,–,31,–,40,–,44,–,37,–
"Welding, soldering, and brazing workers",510,"1,013",498,"1,012",501,996,506,904,486,839
Other metal workers and plastic workers,290,884,347,855,393,862,340,769,338,770
Prepress technicians and workers,15,–,9,–,15,–,13,–,12,–
Printing press operators,109,970,117,869,123,798,130,839,120,748
Print binding and finishing workers,13,–,11,–,6,–,6,–,16,–
Laundry and dry-cleaning workers,77,635,92,665,75,624,88,511,94,538
"Pressers, textile, garment, and related materials",21,–,16,–,15,–,13,–,23,–
Sewing machine operators,92,701,103,673,87,631,94,572,97,579
Shoe and leather workers,8,–,6,–,9,–,11,–,6,–
"Tailors, dressmakers, and sewers",16,–,32,–,16,–,25,–,31,–
"Textile machine setters, operators, and tenders",17,–,17,–,16,–,6,–,15,–
Upholsterers,10,–,15,–,10,–,17,–,20,–
"Other textile, apparel, and furnishings workers",3,–,9,–,15,–,9,–,12,–
Cabinetmakers and bench carpenters,32,–,33,–,50,833,57,788,31,–
Furniture finishers,16,–,7,–,5,–,6,–,9,–
"Sawing machine setters, operators, and tenders, wood",19,–,16,–,24,–,18,–,20,–
"Woodworking machine setters, operators, and tenders, except sawing",14,–,28,–,18,–,15,–,9,–
Other woodworkers,15,–,15,–,18,–,12,–,12,–
"Power plant operators, distributors, and dispatchers",37,–,41,–,20,–,34,–,38,–
Stationary engineers and boiler operators,86,"1,500",72,"1,328",87,"1,173",64,"1,184",45,–
Water and wastewater treatment plant and system operators,102,"1,038",89,961,93,"1,170",94,960,116,955
Miscellaneous plant and system operators,50,"1,465",34,–,43,–,32,–,42,–
"Chemical processing machine setters, operators, and tenders",44,–,41,–,67,"1,047",65,969,50,"1,083"
"Crushing, grinding, polishing, mixing, and blending workers",77,891,94,994,76,908,69,838,79,766
Cutting workers,53,812,50,826,50,709,51,775,54,692
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",17,–,14,–,12,–,24,–,22,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,–,8,–,9,–,10,–,10,–
"Inspectors, testers, sorters, samplers, and weighers",723,957,718,921,726,908,750,883,684,814
Jewelers and precious stone and metal workers,15,–,33,–,22,–,21,–,22,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,51,931,56,722,76,807,50,692,59,694
Packaging and filling machine operators and tenders,282,731,264,716,287,701,251,671,224,620
Painting workers,141,996,126,816,142,886,134,822,139,849
Photographic process workers and processing machine operators,24,–,18,–,9,–,21,–,3,–
Adhesive bonding machine operators and tenders,6,–,10,–,1,–,14,–,8,–
Etchers and engravers,1,–,5,–,3,–,1,–,3,–
"Molders, shapers, and casters, except metal and plastic",16,–,17,–,19,–,17,–,19,–
"Paper goods machine setters, operators, and tenders",12,–,15,–,15,–,8,–,22,–
Tire builders,6,–,10,–,8,–,8,–,0,–
Helpers--production workers,41,–,39,–,55,791,32,–,31,–
Other production equipment operators and tenders,5,–,7,–,8,–,5,–,5,–
Other production workers,"1,162",890,"1,162",856,"1,106",815,"1,022",761,957,739
Transportation and material moving occupations,"8,750",862,"8,664",841,"8,724",796,"8,483",738,"7,917",719
Supervisors of transportation and material moving workers,299,"1,167",313,"1,016",283,"1,015",310,996,222,919
Aircraft pilots and flight engineers,150,"2,311",173,"2,015",148,"1,774",115,"1,913",112,"1,923"
Air traffic controllers and airfield operations specialists,28,–,38,–,33,–,28,–,32,–
Flight attendants,88,"1,064",74,961,90,971,77,859,54,895
"Ambulance drivers and attendants, except emergency medical technicians",25,–,13,–,13,–,6,–,8,–
"Bus drivers, school",98,922,115,660,120,726,125,710,105,647
"Bus drivers, transit and intercity",202,931,224,911,175,889,182,801,146,783
Driver/sales workers and truck drivers,"2,765","1,043","2,709","1,005","2,657",975,"2,680",920,"2,592",896
Shuttle drivers and chauffeurs,50,858,47,–,41,–,29,–,57,606
Taxi drivers,225,762,218,865,198,781,148,678,157,734
"Motor vehicle operators, all other",146,815,114,813,116,689,94,723,84,616
Locomotive engineers and operators,40,–,45,–,42,–,41,–,50,"1,489"
Railroad conductors and yardmasters,51,"1,544",53,"1,642",41,–,38,–,34,–
Other rail transportation workers,17,–,27,–,18,–,13,–,11,–
Sailors and marine oilers,19,–,16,–,28,–,17,–,16,–
Ship and boat captains and operators,29,–,27,–,32,–,17,–,30,–
Ship engineers,2,–,3,–,7,–,2,–,1,–
Parking attendants,36,–,41,–,40,–,47,–,44,–
Transportation service attendants,57,729,44,–,62,611,70,630,81,611
Transportation inspectors,42,–,35,–,41,–,34,–,26,–
Passenger attendants,18,–,25,–,14,–,6,–,14,–
Other transportation workers,31,–,29,–,47,–,28,–,24,–
Crane and tower operators,47,–,55,"1,316",54,"1,134",53,"1,047",48,–
"Conveyor, dredge, and hoist and winch operators",26,–,21,–,21,–,28,–,23,–
Industrial truck and tractor operators,582,850,583,809,595,779,581,743,507,711
Cleaners of vehicles and equipment,227,756,299,694,243,659,215,590,214,580
"Laborers and freight, stock, and material movers, hand","1,721",792,"1,584",765,"1,735",729,"1,649",689,"1,587",650
Machine feeders and offbearers,21,–,29,–,14,–,16,–,11,–
"Packers and packagers, hand",508,705,484,698,516,679,541,614,436,582
Stockers and order fillers,"1,055",718,"1,084",706,"1,157",682,"1,151",612,"1,058",593
Pumping station operators,13,–,18,–,17,–,15,–,17,–
Refuse and recyclable material collectors,82,830,74,762,79,759,63,728,70,680
Other material moving workers,48,–,50,889,46,–,62,777,46,–
,,,,,,,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,