Location,Black_2019,White_2019,Black_2020,White_2020,Black_2021,White_2021,Black_2022,White_2022,Black_2023,White_2023
United States,0.122,0.601,0.135549086,0.758528021,0.116,0.582,0.117,0.577,0.116,0.572
Alabama,0.265,0.654,0.26856214,0.689391019,0.255,0.644,0.252,0.645,0.25,0.636
Alaska,0.022,0.6,0.036453819,0.64611764,0.026,0.579,0.028,0.577,0.023,0.574
Arizona,0.043,0.542,0.053829234,0.821250933,0.041,0.521,0.043,0.518,0.044,0.523
Arkansas,0.152,0.721,0.157222534,0.786880956,0.144,0.683,0.141,0.677,0.141,0.673
California,0.053,0.364,0.064873322,0.712424058,0.051,0.342,0.051,0.337,0.05,0.333
Colorado,0.038,0.678,0.046568769,0.865774457,0.036,0.653,0.036,0.65,0.036,0.647
Connecticut,0.1,0.657,0.125954623,0.789889253,0.097,0.628,0.097,0.62,0.098,0.614
Delaware,0.218,0.614,0.235099009,0.685296226,0.203,0.595,0.211,0.59,0.213,0.582
District of Columbia,0.45,0.367,0.456395394,0.685296226,0.431,0.359,0.422,0.363,0.409,0.367
Florida,0.15,0.53,0.170388221,0.769502845,0.144,0.512,0.144,0.508,0.142,0.503
Georgia,0.313,0.52,0.328778568,0.595772541,0.303,0.503,0.306,0.498,0.304,0.488
Hawaii,0.012,0.204,0.021683007,0.252802178,0.013,0.196,0.011,0.195,0.014,0.198
Idaho,0.007,0.816,0.009274694,0.928596752,0.007,0.788,0.005,0.793,0.008,0.784
Illinois,0.136,0.609,0.147212166,0.763726025,0.132,0.59,0.13,0.585,0.128,0.58
Indiana,0.092,0.786,0.101618283,0.843601161,0.086,0.767,0.091,0.761,0.087,0.752
Iowa,0.039,0.853,0.042616694,0.901659859,0.034,0.831,0.036,0.829,0.036,0.826
Kansas,0.055,0.757,0.061849817,0.860218838,0.047,0.734,0.046,0.733,0.048,0.73
Kentucky,0.08,0.845,0.085924748,0.871647529,0.068,0.83,0.074,0.825,0.071,0.819
Louisiana,0.319,0.588,0.329683944,0.624719981,0.306,0.574,0.306,0.571,0.298,0.56
Maine,0.014,0.932,0.017912056,0.942232057,0.014,0.9,0.016,0.905,0.018,0.9
Maryland,0.296,0.499,0.313697701,0.578888243,0.286,0.481,0.292,0.472,0.288,0.464
Massachusetts,0.07,0.705,0.092662903,0.799771085,0.061,0.677,0.065,0.673,0.065,0.662
Michigan,0.134,0.749,0.141223627,0.790051681,0.131,0.731,0.129,0.729,0.13,0.726
Minnesota,0.064,0.791,0.073444825,0.831134722,0.067,0.769,0.065,0.763,0.068,0.757
Mississippi,0.376,0.566,0.379547592,0.58813527,0.357,0.559,0.364,0.557,0.355,0.552
Missouri,0.112,0.794,0.118044647,0.826547222,0.106,0.768,0.104,0.769,0.105,0.768
Montana,0.006,0.861,0.006141621,0.887668549,0.004,0.838,0.003,0.838,0.005,0.839
Nebraska,0.048,0.785,0.053159792,0.877546497,0.042,0.766,0.042,0.759,0.042,0.752
Nevada,0.092,0.478,0.105578692,0.729886025,0.086,0.451,0.09,0.444,0.087,0.444
New Hampshire,0.013,0.898,0.019009773,0.928503636,0.012,0.876,0.014,0.867,0.012,0.865
New Jersey,0.124,0.545,0.152756316,0.712810833,0.121,0.522,0.118,0.515,0.119,0.506
New Mexico,0.017,0.367,0.026920877,0.813932064,0.016,0.348,0.015,0.347,0.016,0.361
New York,0.14,0.552,0.176309999,0.692102688,0.132,0.535,0.133,0.53,0.132,0.528
North Carolina,0.209,0.627,0.222656917,0.701380628,0.197,0.611,0.2,0.609,0.198,0.599
North Dakota,0.024,0.841,0.034987226,0.866996158,0.029,0.827,0.026,0.828,0.026,0.816
Ohio,0.122,0.786,0.132049522,0.81262576,0.115,0.767,0.118,0.763,0.117,0.758
Oklahoma,0.069,0.65,0.078298005,0.732774162,0.065,0.629,0.065,0.628,0.064,0.619
Oregon,0.018,0.75,0.022579147,0.862837855,0.018,0.721,0.017,0.718,0.019,0.71
Pennsylvania,0.104,0.76,0.122014292,0.811241612,0.097,0.739,0.098,0.733,0.099,0.73
Rhode Island,0.059,0.705,0.087768308,0.831822502,0.043,0.689,0.045,0.68,0.046,0.676
South Carolina,0.262,0.637,0.267492385,0.685668968,0.247,0.628,0.247,0.628,0.24,0.62
South Dakota,0.022,0.819,0.024356022,0.841990491,0.02,0.802,0.019,0.801,0.024,0.796
Tennessee,0.164,0.736,0.170149742,0.782579077,0.151,0.723,0.152,0.721,0.15,0.713
Texas,0.117,0.411,0.131386041,0.780667006,0.114,0.393,0.115,0.389,0.118,0.388
Utah,0.01,0.778,0.015049869,0.903452882,0.01,0.76,0.01,0.756,0.01,0.745
Vermont,0.011,0.928,0.014415422,0.940864786,0.011,0.906,0.008,0.904,0.013,0.892
Virginia,0.189,0.613,0.199884071,0.688738797,0.177,0.595,0.182,0.589,0.179,0.583
Washington,0.038,0.675,0.044687888,0.932003772,0.037,0.646,0.038,0.636,0.038,0.625
West Virginia,0.032,0.925,0.036932263,0.932003772,0.025,0.906,0.029,0.904,0.026,0.902
Wisconsin,0.062,0.811,0.067603528,0.866660231,0.058,0.793,0.057,0.791,0.057,0.787
Wyoming,0.01,0.838,0.012245798,0.924014117,0.009,0.813,0.007,0.819,0.006,0.815
,,,, ,,,,,,